DATAFLOW,LAST UPDATE,freq,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-01,4751.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-02,4253.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-03,3873.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-04,4038.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-05,4309.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-06,4912.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-07,5752.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-08,5265.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-09,4526.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2008-10,4145.000,
